縣市別代碼,日期,時間,平假日,調查地點,行駛方向,左轉PCU,直行PCU,右轉PCU
"10018","1080918","07:00-08:00","平日","中華路1段與台68線路口","往北","86","2131","753"
"10018","1080918","08:00-09:00","平日","中華路1段與台68線路口","往北","47","2059","626"
"10018","1080918","17:00-18:00","平日","中華路1段與台68線路口","往北","55","2108","783"
"10018","1080918","18:00-19:00","平日","中華路1段與台68線路口","往北","28","2287","648"
"10018","1080918","07:00-08:00","平日","中華路1段與台68線路口","往東","752","132","15"
"10018","1080918","08:00-09:00","平日","中華路1段與台68線路口","往東","851","82","10"
"10018","1080918","17:00-18:00","平日","中華路1段與台68線路口","往東","603","77","32"
"10018","1080918","18:00-19:00","平日","中華路1段與台68線路口","往東","578","64","14"
"10018","1080918","07:00-08:00","平日","中華路1段與台68線路口","往南","190","1759","758"
"10018","1080918","08:00-09:00","平日","中華路1段與台68線路口","往南","157","2053","666"
"10018","1080918","17:00-18:00","平日","中華路1段與台68線路口","往南","277","1927","622"
"10018","1080918","18:00-19:00","平日","中華路1段與台68線路口","往南","249","1909","610"
"10018","1080921","12:00-13:00","假日","中華路1段與台68線路口","往北","100","1319","571"
"10018","1080921","13:00-14:00","假日","中華路1段與台68線路口","往北","98","1611","693"
"10018","1080921","17:00-18:00","假日","中華路1段與台68線路口","往北","114","2111","751"
"10018","1080921","18:00-19:00","假日","中華路1段與台68線路口","往北","63","1762","688"
"10018","1080921","12:00-13:00","假日","中華路1段與台68線路口","往東","482","66","50"
"10018","1080921","13:00-14:00","假日","中華路1段與台68線路口","往東","460","91","59"
"10018","1080921","17:00-18:00","假日","中華路1段與台68線路口","往東","667","55","51"
"10018","1080921","18:00-19:00","假日","中華路1段與台68線路口","往東","703","52","62"
"10018","1080921","12:00-13:00","假日","中華路1段與台68線路口","往南","85","1567","432"
"10018","1080921","13:00-14:00","假日","中華路1段與台68線路口","往南","117","1897","464"
"10018","1080921","17:00-18:00","假日","中華路1段與台68線路口","往南","148","1609","384"
"10018","1080921","18:00-19:00","假日","中華路1段與台68線路口","往南","98","1250","391"
"10018","1080918","07:00-08:00","平日","中華路1段與中華路1段78巷口","往北","20","2765","0"
"10018","1080918","08:00-09:00","平日","中華路1段與中華路1段78巷口","往北","21","2661","0"
"10018","1080918","17:00-18:00","平日","中華路1段與中華路1段78巷口","往北","19","2876","0"
"10018","1080918","18:00-19:00","平日","中華路1段與中華路1段78巷口","往北","20","2850","0"
"10018","1080918","07:00-08:00","平日","中華路1段與中華路1段78巷口","往東","41","0","39"
"10018","1080918","08:00-09:00","平日","中華路1段與中華路1段78巷口","往東","53","0","46"
"10018","1080918","17:00-18:00","平日","中華路1段與中華路1段78巷口","往東","39","0","42"
"10018","1080918","18:00-19:00","平日","中華路1段與中華路1段78巷口","往東","34","0","40"
"10018","1080918","07:00-08:00","平日","中華路1段與中華路1段78巷口","往南","10","1738","0"
"10018","1080918","08:00-09:00","平日","中華路1段與中華路1段78巷口","往南","17","2115","0"
"10018","1080918","17:00-18:00","平日","中華路1段與中華路1段78巷口","往南","17","1973","0"
"10018","1080918","18:00-19:00","平日","中華路1段與中華路1段78巷口","往南","14","1965","0"
"10018","1080921","12:00-13:00","假日","中華路1段與中華路1段78巷口","往北","33","1948","0"
"10018","1080921","13:00-14:00","假日","中華路1段與中華路1段78巷口","往北","9","2317","0"
"10018","1080921","17:00-18:00","假日","中華路1段與中華路1段78巷口","往北","30","3011","0"
"10018","1080921","18:00-19:00","假日","中華路1段與中華路1段78巷口","往北","32","2712","0"
"10018","1080921","12:00-13:00","假日","中華路1段與中華路1段78巷口","往東","10","0","4"
"10018","1080921","13:00-14:00","假日","中華路1段與中華路1段78巷口","往東","12","0","12"
"10018","1080921","17:00-18:00","假日","中華路1段與中華路1段78巷口","往東","7","0","4"
"10018","1080921","18:00-19:00","假日","中華路1段與中華路1段78巷口","往東","17","0","15"
"10018","1080921","12:00-13:00","假日","中華路1段與中華路1段78巷口","往南","7","1724","0"
"10018","1080921","13:00-14:00","假日","中華路1段與中華路1段78巷口","往南","8","1982","0"
"10018","1080921","17:00-18:00","假日","中華路1段與中華路1段78巷口","往南","5","1719","0"
"10018","1080921","18:00-19:00","假日","中華路1段與中華路1段78巷口","往南","6","1462","0"
"10018","1080918","07:00-08:00","平日","經國路1段與中華路1段路口","往北","1","1600","1"
"10018","1080918","08:00-09:00","平日","經國路1段與中華路1段路口","往北","0","1432","1"
"10018","1080918","17:00-18:00","平日","經國路1段與中華路1段路口","往北","0","1438","1"
"10018","1080918","18:00-19:00","平日","經國路1段與中華路1段路口","往北","1","1426","1"
"10018","1080918","07:00-08:00","平日","經國路1段與中華路1段路口","往東","1296","1","0"
"10018","1080918","08:00-09:00","平日","經國路1段與中華路1段路口","往東","1457","0","19"
"10018","1080918","17:00-18:00","平日","經國路1段與中華路1段路口","往東","1394","1","47"
"10018","1080918","18:00-19:00","平日","經國路1段與中華路1段路口","往東","1480","0","36"
"10018","1080918","07:00-08:00","平日","經國路1段與中華路1段路口","往南","0","1106","1000"
"10018","1080918","08:00-09:00","平日","經國路1段與中華路1段路口","往南","0","1146","1059"
"10018","1080918","17:00-18:00","平日","經國路1段與中華路1段路口","往南","6","1146","926"
"10018","1080918","18:00-19:00","平日","經國路1段與中華路1段路口","往南","4","1336","924"
"10018","1080918","07:00-08:00","平日","經國路1段與中華路1段路口","往西","23","17","6"
"10018","1080918","08:00-09:00","平日","經國路1段與中華路1段路口","往西","18","13","4"
"10018","1080918","17:00-18:00","平日","經國路1段與中華路1段路口","往西","12","12","10"
"10018","1080918","18:00-19:00","平日","經國路1段與中華路1段路口","往西","18","11","2"
"10018","1080921","12:00-13:00","假日","經國路1段與中華路1段路口","往北","1","1074","9"
"10018","1080921","13:00-14:00","假日","經國路1段與中華路1段路口","往北","2","1085","6"
"10018","1080921","17:00-18:00","假日","經國路1段與中華路1段路口","往北","0","1685","6"
"10018","1080921","18:00-19:00","假日","經國路1段與中華路1段路口","往北","0","1522","3"
"10018","1080921","12:00-13:00","假日","經國路1段與中華路1段路口","往東","966","5","18"
"10018","1080921","13:00-14:00","假日","經國路1段與中華路1段路口","往東","1003","9","35"
"10018","1080921","17:00-18:00","假日","經國路1段與中華路1段路口","往東","1490","5","27"
"10018","1080921","18:00-19:00","假日","經國路1段與中華路1段路口","往東","1392","5","14"
"10018","1080921","12:00-13:00","假日","經國路1段與中華路1段路口","往南","787","1076","5"
"10018","1080921","13:00-14:00","假日","經國路1段與中華路1段路口","往南","1","1049","837"
"10018","1080921","17:00-18:00","假日","經國路1段與中華路1段路口","往南","3","995","804"
"10018","1080921","18:00-19:00","假日","經國路1段與中華路1段路口","往南","3","859","752"
"10018","1080921","12:00-13:00","假日","經國路1段與中華路1段路口","往西","11","9","12"
"10018","1080921","13:00-14:00","假日","經國路1段與中華路1段路口","往西","12","6","11"
"10018","1080921","17:00-18:00","假日","經國路1段與中華路1段路口","往西","9","8","10"
"10018","1080921","18:00-19:00","假日","經國路1段與中華路1段路口","往西","7","6","7"
"10018","1080918","07:00-08:00","平日","中華路1段與太原路口","往北","1","1651","75"
"10018","1080918","08:00-09:00","平日","中華路1段與太原路口","往北","1","1556","97"
"10018","1080918","17:00-18:00","平日","中華路1段與太原路口","往北","4","1367","83"
"10018","1080918","18:00-19:00","平日","中華路1段與太原路口","往北","1","1283","73"
"10018","1080918","07:00-08:00","平日","中華路1段與太原路口","往東","5","69","10"
"10018","1080918","08:00-09:00","平日","中華路1段與太原路口","往東","9","73","13"
"10018","1080918","17:00-18:00","平日","中華路1段與太原路口","往東","7","39","13"
"10018","1080918","18:00-19:00","平日","中華路1段與太原路口","往東","5","52","9"
"10018","1080918","07:00-08:00","平日","中華路1段與太原路口","往南","75","1043","0"
"10018","1080918","08:00-09:00","平日","中華路1段與太原路口","往南","107","1116","6"
"10018","1080918","17:00-18:00","平日","中華路1段與太原路口","往南","61","1145","7"
"10018","1080918","18:00-19:00","平日","中華路1段與太原路口","往南","69","1378","8"
"10018","1080918","07:00-08:00","平日","中華路1段與太原路口","往西","112","6","94"
"10018","1080918","08:00-09:00","平日","中華路1段與太原路口","往西","124","11","82"
"10018","1080918","17:00-18:00","平日","中華路1段與太原路口","往西","107","6","133"
"10018","1080918","18:00-19:00","平日","中華路1段與太原路口","往西","116","6","145"
"10018","1080921","12:00-13:00","假日","中華路1段與太原路口","往北","0","997","54"
"10018","1080921","13:00-14:00","假日","中華路1段與太原路口","往北","2","1094","61"
"10018","1080921","17:00-18:00","假日","中華路1段與太原路口","往北","1","1543","68"
"10018","1080921","18:00-19:00","假日","中華路1段與太原路口","往北","0","1388","47"
"10018","1080921","12:00-13:00","假日","中華路1段與太原路口","往東","3","12","1"
"10018","1080921","13:00-14:00","假日","中華路1段與太原路口","往東","3","11","11"
"10018","1080921","17:00-18:00","假日","中華路1段與太原路口","往東","0","14","4"
"10018","1080921","18:00-19:00","假日","中華路1段與太原路口","往東","0","18","2"
"10018","1080921","12:00-13:00","假日","中華路1段與太原路口","往南","39","963","5"
"10018","1080921","13:00-14:00","假日","中華路1段與太原路口","往南","28","1069","3"
"10018","1080921","17:00-18:00","假日","中華路1段與太原路口","往南","33","918","11"
"10018","1080921","18:00-19:00","假日","中華路1段與太原路口","往南","29","794","6"
"10018","1080921","12:00-13:00","假日","中華路1段與太原路口","往西","52","3","54"
"10018","1080921","13:00-14:00","假日","中華路1段與太原路口","往西","54","4","40"
"10018","1080921","17:00-18:00","假日","中華路1段與太原路口","往西","72","5","51"
"10018","1080921","18:00-19:00","假日","中華路1段與太原路口","往西","42","5","54"
"10018","1080918","07:00-08:00","平日","中華路1段與中華路1段236巷口","往北","0","1645","0"
"10018","1080918","08:00-09:00","平日","中華路1段與中華路1段236巷口","往北","4","1525","0"
"10018","1080918","17:00-18:00","平日","中華路1段與中華路1段236巷口","往北","4","1447","0"
