國文,英文,數學,社會,自然
7,7,13,8,12
15,10,11,8,10
11,13,6,12,6
10,10,6,11,12
13,8,7,14,12
13,14,7,6,14
8,14,7,12,14
10,13,12,15,7
14,12,7,7,13
8,11,11,12,8
12,14,13,8,10
9,13,7,8,6
11,6,8,10,14
14,14,7,6,11
11,10,13,10,7
10,10,13,6,6
11,10,9,7,8
12,15,12,14,14
7,7,7,9,8
14,7,15,15,14
15,13,14,10,6
9,8,13,15,8
13,10,14,10,6
6,9,14,10,14
6,15,8,10,7
7,6,8,15,13
9,13,11,10,12
11,10,8,12,8
15,6,14,14,9
14,7,9,11,12
15,10,8,6,12
11,15,10,15,8
9,9,13,14,8
6,7,12,13,7
8,7,10,10,8
6,12,10,9,13
13,9,12,14,8
7,15,12,11,14
8,8,9,7,6
7,7,12,9,7
9,9,13,7,12
12,11,10,6,14
15,12,13,12,8
15,8,13,11,12
10,13,14,9,9
11,13,12,11,12
14,10,8,11,14
15,15,10,13,15
14,8,10,14,8
8,9,7,6,15
13,13,10,10,11
13,13,7,15,14
6,6,9,9,15
10,15,10,6,12
10,15,8,13,14
15,15,11,13,8
6,9,11,8,9
14,10,7,11,10
10,8,13,11,6
12,8,7,14,14
6,8,7,9,9
7,14,15,11,6
10,14,10,15,15
8,12,12,12,14
15,6,11,6,15
13,12,10,7,6
6,10,10,14,7
8,15,9,13,12
6,6,12,10,9
15,11,11,10,7
13,11,10,13,13
15,8,6,13,11
13,12,14,10,15
13,12,7,6,14
14,14,6,15,7
14,11,15,10,12
12,13,8,9,13
15,6,8,10,8
8,7,14,10,9
13,14,7,6,12
15,11,11,13,6
13,15,11,12,15
15,7,15,8,8
7,6,12,13,12
15,12,13,12,11
8,8,12,9,12
14,6,12,7,10
9,15,6,9,13
15,13,10,10,11
9,14,14,6,10
14,13,9,8,6
12,12,14,9,14
15,7,14,11,11
13,6,11,15,10
13,11,10,6,10
15,9,11,15,8
14,9,7,15,10
9,9,7,12,7
13,9,13,6,7
15,11,12,7,10
